name	slot	descriptors	effect	bind_effect	is_retold	source	url
Toxinlungs	Neck	Disease, Fleshwarp, Poison	Hold your breath for long periods and gain bonuses vs airborne toxins, plus a toxic breath weapon.	Become immune to airborne toxins, store toxins in your lungs to attack others.		Eldritch Essences: Promethean	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Trail of Repulsion	Chest, Shoulders	Force	Leave trails of difficult terrain where you walk.	Shoulders: Creatures attempting to enter your difficult terrain must save or be repelled.<br>Chest: Gain Shoulders bind, gain an aura of difficult terrain.		Studio M— July 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Trail of Repulsion (Akasha Retold)	Shoulders, Chest	Force			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Trailing Shadow	Belt	Darkness	Your shadow damages foes when you miss.	You can detatch your shadow.		Studio M— April 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Trailing Shadow (Akasha Retold)	Belt	Darkness			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Traitor's Mark	Hands	Brand, Curse	Branded creature no longer treats their allies as allies, you may force them to attack.	Forcing an attack is now a free action and makes the creature staggered.		Akashic Classes: Volur	https://metzo.miraheze.org/wiki/Huay_Veil_List
Traveler's Inscribed Plates	Head, Shoulders, Chest	Enhanced				Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Treantplate	Chest, Shoulders	Armor				Stormbound, Pathfinder Compatible	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Treantplate (Enhanced)	Chest, Shoulders	Enhanced	Create a suit of wooden half-plate that heals you when you take damage.	Shoulders: Absorb electricity.<br>Chest: Absorb electricity & use liveoak to conjure a veil-enhanced treant.		The Soulforge: Spirit of a Hero; Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Trickster's Overcoat	Shoulders	Enhanced	Create an armored coat that grants bonuses to Disguise and Stealth, as well as hiding from divination effects.	All of your veils appear either non-magical or invisible, and the coat protects against even more powerful divinations.		Studio M— September 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Trickster's Overcoat (Akasha Retold)	Shoulders	Enhanced			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Trickster's Warpweave	Feet, Shoulders	Illusion, Teleportation				Akashic Archives	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Trickster's Web	Hands, Wrists		Gain a bonus to Craft (traps), Bluff, and the DC to escape your bonds.	Hands: Make a feint check to prevent creatures from moving.<br>Wrists: Gain the Hands bind, create magical traps.		Akashic Tales: Spider's Stories	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Trishula of the Sun	Hands, Wrists, Body	Enhanced, Fire, Light				Akashic Tales: Astradhari's Panoply	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Twin Thunders	Hands	Enhanced, Steady	Use two hammers to create thunder and lightning.	Increase the critical threat and produce thunder and lightning on a crit.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Twinned Blood	Blood		Share HP with an ally.	Burn essence to share a save with an ally.		Akashic Tales: Relics of Atlantis	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Twinned Blood (Retold)	Blood				yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Twisted View	Hands, Wrists	Dao, Enhanced, Variant				Whispers of Immortality	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Umbral Pugilism	Hands, Shoulders, Belt, Body	Darkness, Variant				Expanded Akasha — Esoteric Ascendance	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Undeath's Blighted Foe	Shoulders	Brand				Akashic Horrors — Domains of the Dead	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Unicorn Feathering	Hands	Healing	Grant creatures fast healing.	Increase healing & bless subject.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Guru_Veil_List
Unicorn Feathering (Retold)	Hands, Headband	Healing			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Guru_Veil_List
Unicorn's Barding	Belt, Body	Emotion, Good	Radiate an aura that protects against fear and emotion effects.	Belt: Dispel nearby emotion effects.<br>Body: Gain Belt bind, Suppress nearby fear & hostile foes.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Guru_Veil_List
Unseen Horror	Shoulders	Evil, Polymorph				Eldritch Akasha — Whispers of the Old Ones	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Unseen Stalker	Shoulders	Glamer				Akashic Horrors — Grisly Fates	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Unyielding	Body, Shoulders	Enhanced, Undetectable	Delay incoming damage and use it to fuel your attacks.	Shoulders: Gain attack and damage bonuses when you removed damage from the veil<br>Body: Gain Shoulders bind, burn essence to remove damage from the veil.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Urumi of the Forgotten Villain	Belt	Enhanced				Akashic Tales: Astradhari's Panoply	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Vae'el's Shardstorm	Wrists	Enhanced	Create a scimitar that can shatter and swirl around you, dealing damage to all.	You may move the swirling shards anywhere within 30 feet, and attack through them.		The Soulforge: Spirit of a Hero	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Vain Queen's Hand Mirror	Hands, Wrists	Divination				The Fisherking	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Vain Queen's Hand Mirror (Enhanced)	Hands, Wrists	Divination, Enhanced	Create a mirror that acts as a silver mace, cast augury as an SLA	Hands: Burn essence to cast augury and divination as SLAs.<br>Wrists: Gain Hands bind, conjure spiritual ally.		Studio M— April 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Vajra	Hands, Wrists	Enhanced, Electricity				Akashic Tales: Astradhari's Panoply	https://metzo.miraheze.org/wiki/Guru_Veil_List
Valkyrie's Chain	Chest	Conjuration, Healing				Akashic Realms Volume 1: Emperors & Einherjar	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Valkyrie's Chain (Enhanced)	Shoulders, Chest	Conjuration, Enhanced, Healing	Create a suit of chainmail armor that doesn't weigh you down.	Shoulders: Use breath of life as an SLA.<br>Chest: Gain bonus to saves vs death and use breath of life in response to being dropped.		Studio M— February 2021 Compilation; The Soulforge: Content Compendium	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Valkyrie's Chain (Retold)	Shoulders, Chest	Enhanced, Healing			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Vambraces of Holy Scripture	Wrists	Good, Law	Creatures that attack you are dazzled or blinded.	Damage or banish chaos & evil.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Vambraces of the Living Weapon	Wrists	Summoning, Enhanced, Familiar, Variant				Expanded Akasha: Variant Arsenal 2	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Vampire's Blessing	Neck		Gain a bite natural attack that grants temporary hit points when used on living creatures.	Temporarily transform into a vampire		Akashic Tales: Hallow Icons	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Vanth's Eyes	Headband	Evil, Necromancy	Determine the status of creatures within 30 feet.	Slay fallen creatures in an instant to gain bonuses to attack & damage.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Guru_Veil_List
Varunapasha	Hands, Wrists	Abjuration				Akashic Tales: Astradhari's Panoply	https://metzo.miraheze.org/wiki/Guru_Veil_List
Varunastra	Hands, Wrists	Enhanced, Water				Akashic Tales: Astradhari's Panoply	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Vasavi Shakti	Hands, Head, Body	Electricity, Enhanced, Death				Akashic Tales: Astradhari's Panoply	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Vastreach Vines	Hands, Wrists	Fleshwarp, Variant				Eldritch Akasha — Lost Esoteries	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Veil of the Lost Dead	Headband		Prevent a creature from perceiving you, the effect is broken if you act against the creature.	Act against creatures without their knowledge.		The Tome of Veils	https://metzo.miraheze.org/wiki/Guru_Veil_List
Veilhex	Headband	Brand, Curse	Branded creature takes extra damage from you, you may move this brand when you defeat them.	Branded creature takes 1d4 damage per brand affecting them.		Akashic Classes: Volur	https://metzo.miraheze.org/wiki/Huay_Veil_List
Veilweaver's Companion	Wrists	Familiar, Summoning				Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Verdant Vambraces	Hands, Belt		Call forth entangling plant life.	Hands: Conjure additional entanglement & repair plant matter.<br>Belt: Conjure additional entanglement, repair plant matter & tree stride.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Huay_Veil_List
Vestments of the Maharaja	Chest	Compulsion, Mind-affecting	Gain a bonus to Diplomacy and Intimidate checks.	Gain command of up to 100hd worth of creatures.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Lunar_Veil_List
Vestments of the Maharaja (Retold)	Chest	Compulsion, Mind-affecting			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Vines of the Elderwood	Feet, Wrists		Gain woodland step and trackless step.	Feet: Cause plants around you to grow spikes and entangle foes.<br>Wrists: Target a foe with entangling thorns.		Races of Obscura - El'in and Mosslings	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Vines of the Elderwood (Akasha Retold)	Feet, Wrists				yes	Akasha Retold — Expanded Core	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Visage of Hunger	Head	Steady	Intimidate creatures with a bite granted by this veil.	Creatures you bite are frightened.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Visage of the Beast	Headband	Brand, Polymorph	Transform branded creature into a Small animal as beast shape I.	The branded creature must make a Will save or have their mind transform into the animal's as well.		Akashic Classes: Volur	https://metzo.miraheze.org/wiki/Huay_Veil_List
Visage of the Faceless	Head	Evil, Polymorph	Gain alter self as an SLA, also turn into an aberration.	Gain monstrous physique as an SLA, also turn into an aberration.		Eldritch Essences: Promethean	https://metzo.miraheze.org/wiki/Guru_Veil_List
Visage of the Faceless (Akasha Retold)	Head	Evil, Polymorph			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Guru_Veil_List
Visage of the Rose Princess	Body, Belt, Feet, Wrists	Fleshwarp				Akashic Tales: Tokusatsu	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Visor of Stormsight	Head	Divination	Reduce penalties to vision and Perception while in storms.	Breach storm-based concealment & attack penalties.		Stormbound, Pathfinder Compatible; Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Guru_Veil_List
Voice of Winter	Neck		Create snow servants.	Make snow servant sentient & possess it.		Studio M— December 2020 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Voice of the Janni	Neck	Compulsion, Mind-affecting	Gain bonuses on saving throws vs elemental effects.	Use charm monster on elemental creatures.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Guru_Veil_List
Void Countenance	Head	Cold, Darkness	Gain bonuses to Bluff checks and Will saves.	Unleash cold & negative energy cone to damage the living & discombobulate the unliving.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Void Countenance (Akasha Retold)	Head	Cold, Darkness			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Void Palm	Hands, Wrists	Enhanced, Ki				Akashic Expansions: Tai Lin	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Voidblade	Hands, Body	Cold, Darkness, Death				City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Voidblade (Enhanced)	Hands, Body	Darkness, Death, Enhanced	Create a greatsword that penalizes creatures you strike.	Hands: Gain bonus to sundering.<br>Body: Gain Hands bind, inflict negative energy or undead destruction on crit.		Studio M— February 2021 Compilation; The Soulforge: Content Compendium	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Voidblade (Retold)	Hands, Body	Cold, Darkness, Enhanced, Mind-affecting			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Voidwalkers	Feet, Belt	Darkness	Gain bonuses to Acrobatics checks, teleport when successfully avoiding AoOs.	Feet: Walk on darkness.<br>Belt: Gain Feet bind, increase speed.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Voidwalkers (Retold)	Feet, Belt	Darkness			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Voltaic Circlet	Headband	Electricity, Variant	Circlet amplifies electric damage.	Make enemies flat-footed with electric damage.		Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Huay_Veil_List
Voltaic Circlet (Akasha Retold)	Headband	Electricity, Variant			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Guru_Veil_List
Voodoo Queen's Tignon	Headband	Compulsion, Mind-affecting				Akashic Tales: Servants of the Loa	https://metzo.miraheze.org/wiki/Huay_Veil_List
Vorpal Guards	Shoulders		Gain bonus to AC vs critical hit confirmation rolls.	Gain vorpal immunity & increase fortification.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Vorpal Guards (Retold)	Shoulders				yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Vrock's Screech	Neck	Chaos, Sonic	Your screech staggers creatures in a cone in front of you.	Stun or paralyze victims.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Huay_Veil_List
Waistband of the Wealthy	Belt		Gain a bonus to Bluff and Sense Motive checks.	Maintain extradimensional storage.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Waistband of the Wealthy (Retold)	Belt				yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Warding Mandalas	Neck, Wrists	Variant	Create magical sigils to ward areas as a trap that fires a line of akashic energy at trespassers.	Neck: Allows you to create sigils that produce a cone of akashic energy instead of a line.<br>Wrists: Create multiple sigils as a full-round action, sigils automatic retaliate against those who fail to disarm them.		Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Guru_Veil_List
Warlord's Fist	Hands	Fear	Gain the ability to Intimidate multiple foes at once.	Make foes fightened on Intimidate.		Arcforge: Technology Expanded	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
